,Location,Airport,IATA_Code,Passenger_Role,2018_passengers
0,Akron,Akron Executive Airport,AKC,Non-Hub/Reliever,No Commercial Service
1,Albany,Albany International Airport,ALB,Small,"2,848,000 [2]"
2,Albuquerque,Albuquerque International Sunport,ABQ,Medium,"5,258,775 [3]"
3,Anchorage,Ted Stevens Anchorage International Airport,ANC,Medium,"5,176,371[4]"
4,Appleton,Appleton International Airport,ATW,Small,"717,757 [5]"
5,Atlanta,Hartsfield-Jackson Atlanta International Airport,ATL,Large,107394029
6,Atlantic City,Atlantic City International Airport,ACY,Small,TBA
7,Austin,Austin-Bergstrom International Airport,AUS,Medium,"15,819,912 [6]"
8,Baltimore,Baltimore-Washington International Thurgood Marshall Airport,BWI,Large,"27,145,831 [7]"
9,Bangor,Bangor International Airport,BGR,Non-Hub,TBA
10,Birmingham,Birmingham-Shuttlesworth International Airport,BHM,Small,"2,972,776 [8]"
11,Boise,Boise Airport,BOI,Medium,"3,864,819[9]"
12,Boston,Logan International Airport,BOS,Large,"40,941,925 [10]"
13,Buffalo,Buffalo Niagara International Airport,BUF,Medium,"5,014,513[11]"
14,Charlotte,Charlotte/Douglas International Airport,CLT,Large,"45,909,899 [12]"
15,Charleston,Charleston International Airport,CHS,Medium,TBA
16,Chicago,Chicago Midway International Airport,MDW,Large,"20,298,847 [13] (As of 11/2018)"
17,Chicago,O'Hare International Airport,ORD,Large,"76,799,005 [14] (As of 11/2018)"
18,Cincinnati,Cincinnati/Northern Kentucky International Airport,CVG,Medium,"8,865,568 [15]"
19,Cleveland,Cleveland Hopkins International Airport,CLE,Medium,9642729
20,Columbus,John Glenn Columbus International Airport,CMH,Medium,"8,141,656 [16]"
22,Dallas,Dallas/Fort Worth International Airport,DFW,Large,69112607
23,Dayton,Dayton International Airport,DAY,Small,905558
24,Denver,Denver International Airport,DEN,Large,64494613
25,Des Moines,Des Moines International Airport,DSM,Small,"2,773,207[17]"
26,Detroit,Detroit Metropolitan Wayne County Airport,DTW,Large,35236676
27,El Paso,El Paso International Airport,ELP,Medium,"3,516,911[18]"
28,Fairbanks,Fairbanks International Airport,FAI,Small,"1,078,085[19]"
29,Fort Lauderdale,Fort Lauderdale-Hollywood International Airport,FLL,Large,35963370
30,Fort Myers,Southwest Florida International Airport,RSW,Medium,9373178
31,Fresno,Fresno Yosemite International Airport,FAT,Small,1630000
32,Hartford,Bradley International Airport,BDL,Medium,"6,668,198[20]"
33,Grand Rapids,Gerald R. Ford International Airport,GRR,Medium,"3,587,7670[21]"
34,Green Bay,Green Bay–Austin Straubel International Airport,GRB,Small,"650,000[22]"
35,Greensboro,Piedmont Triad International Airport,GSO,Small,"1,859,588[23]"
36,Hilo,Hilo International Airport,ITO,Small,TBA
37,Honolulu,Daniel K. Inouye International Airport,HNL,Large,"19,022,665[24]"
38,Houston,George Bush Intercontinental Airport,IAH,Large,43807539
39,Houston,William P. Hobby Airport,HOU,Medium,14476469
40,Huntsville (AL),Huntsville International Airport,HSV,Small,TBA
41,Indianapolis,Indianapolis International Airport,IND,Medium,9413962
42,Jacksonville,Jacksonville International Airport,JAX,Medium,6460253
43,Juneau,Juneau International Airport,JNU,Non-Hub,TBA
44,Kansas City,Kansas City International Airport,MCI,Medium,11850825
45,Ketchikan,Ketchikan International Airport,KTN,Non-Hub,TBA
46,Key West,Key West International Airport,EYW,Small,"389,187[25] As of 11/2018"
47,Kona,Kona International Airport,KOA,Small,TBA
48,Knoxville,McGhee Tyson Airport,TYS,Small,"2,123,169[26]"
49,Lakeland,Lakeland Linder International Airport,LAL,Reliever,No Commercial Service
50,Lansing,Capital Region International Airport,LAN,Non-Hub,345652
51,Las Vegas,McCarran International Airport,LAS,Large,49716584
52,Little Rock,Clinton National Airport,LIT,Small,"2,056,795[27]"
