city_name,airport_name,iata_code,airport_size,count_passenger,I94_port_code,state_name,elevation_ft,iso_country,iso_region,municipality,gps_code,lat,lng
Albany,Albany International Airport,ALB,Small,2848000,ALB,NY,285,US,US-NY,Albany,KALB,-73.80169677734375,42.74829864501953
Albuquerque,Albuquerque International Sunport,ABQ,Medium,5258775,ABQ,NM,5355,US,US-NM,Albuquerque,KABQ,-106.609001,35.040199
Anchorage,Ted Stevens Anchorage International Airport,ANC,Medium,5176371,ANC,AK,152,US,US-AK,Anchorage,PANC,-149.99600219726562,61.174400329589844
Appleton,Appleton International Airport,ATW,Small,717757,ATW,WI,0,,,,,,
Atlanta,Hartsfield-Jackson Atlanta International Airport,ATL,Large,107394029,ATL,GA,1026,US,US-GA,Atlanta,KATL,-84.428101,33.6367
Atlantic City,Atlantic City International Airport,ACY,Small,0,ACY,NJ,75,US,US-NJ,Atlantic City,KACY,-74.57720184326172,39.45759963989258
Austin,Austin-Bergstrom International Airport,AUS,Medium,15819912,AUS,TX,542,US,US-TX,Austin,KAUS,-97.6698989868164,30.194499969482422
Baltimore,Baltimore-Washington International Thurgood Marshall Airport,BWI,Large,27145831,BAL,MD,146,US,US-MD,Baltimore,KBWI,-76.668297,39.1754
Birmingham,Birmingham-Shuttlesworth International Airport,BHM,Small,2972776,BHX,AL,650,US,US-AL,Birmingham,KBHM,-86.75350189,33.56290054
Boise,Boise Airport,BOI,Medium,3864819,BOI,ID,2871,US,US-ID,Boise,KBOI,-116.223,43.5644
Boston,Logan International Airport,BOS,Large,40941925,BOS,MA,20,US,US-MA,Boston,KBOS,-71.00520325,42.36429977
Buffalo,Buffalo Niagara International Airport,BUF,Medium,5014513,BUF,NY,728,US,US-NY,Buffalo,KBUF,-78.73220062,42.94049835
Charlotte,Charlotte/Douglas International Airport,CLT,Large,45909899,CLT,NC,748,US,US-NC,Charlotte,KCLT,-80.94309997558594,35.2140007019043
Charleston,Charleston International Airport,CHS,Medium,0,CHL,SC,46,US,US-SC,Charleston,KCHS,-80.04049683,32.89860153
Charleston,Charleston International Airport,CHS,Medium,0,CHS,WV,46,US,US-SC,Charleston,KCHS,-80.04049683,32.89860153
Chicago,Chicago Midway International Airport,MDW,Large,20298847,CHI,IL,620,US,US-IL,Chicago,KMDW,-87.752403,41.785999
