city_name,state_name,state_code,age_median,popul_male,popul_female,household_size_ave,popul_total,share_female,popul_density,lat,lng
Abilene,Texas,TX,31.3,326060,303320,2.64,629380,0.48,324.98,32.429644999999994,-99.75714999999998
Akron,Ohio,OH,38.1,484430,503335,2.24,987765,0.51,1106.74,41.07472823529412,-81.53512411764706
Alafaya,Florida,FL,33.5,158016,183040,2.94,341056,0.54,,,
Alameda,California,CA,41.4,188735,204335,2.52,393070,0.52,2613.15,37.755975,-122.257705
Albany,Georgia,GA,33.3,158475,197070,2.38,355545,0.55,226.85,31.540405,-84.1796925
Albany,New York,NY,32.8,238135,254125,2.08,492260,0.52,1885.05,42.67237454545455,-73.78597
Albuquerque,New Mexico,NM,36.0,1366615,1429040,2.49,2795655,0.51,998.42,35.10680352941177,-106.61069588235294
Alexandria,Virginia,VA,36.6,374945,392610,2.2,767555,0.51,2903.56,38.79069928571429,-77.0942592857143
Alhambra,California,CA,41.0,210920,216940,2.89,427860,0.51,4173.8,34.082835,-118.13689
Allen,Pennsylvania,PA,33.5,303130,297905,2.67,601035,0.5,,,
Allen,Texas,TX,37.2,256620,234070,3.04,490690,0.48,917.1,33.10216,-96.650815
Amarillo,Texas,TX,33.8,496955,501300,2.64,998255,0.5,655.37,35.22923333333333,-101.84568133333333
Ames,Iowa,IA,23.0,135256,124952,2.16,260208,0.48,3348.08,42.033345,-93.64112
Anaheim,California,CA,33.6,898015,855675,3.45,1753690,0.49,3132.54,33.83515428571429,-117.87954428571429
Anchorage,Alaska,AK,32.2,764725,728750,2.77,1493475,0.49,782.11,62.04245214285714,-150.79501142857143
Ann Arbor,Michigan,MI,28.1,293945,291405,2.17,585350,0.5,1109.88,42.272316000000004,-83.74462399999999
Antioch,California,CA,34.0,273665,279045,3.31,552710,0.5,1562.55,37.98126499999999,-121.794205
Apple Valley,California,CA,34.3,164365,196560,3.03,360925,0.54,131.8,34.50666,-117.149365
Appleton,Wisconsin,WI,35.6,186085,190190,2.49,376275,0.51,773.78,44.2823725,-88.4033325
Arden-Arcade,California,CA,41.5,237980,243400,2.18,481380,0.51,,,
Arlington,Texas,TX,32.6,955300,985310,2.89,1940610,0.51,1622.44,32.698839166666666,-97.12218416666667
Arlington,Virginia,VA,34.4,569905,575915,2.19,1145820,0.5,3968.99,38.877066,-77.10271300000001
Arlington Heights,Illinois,IL,45.9,150508,157476,2.38,307984,0.51,1767.45,42.087950000000006,-87.98238
Arvada,Colorado,CO,41.0,274350,300825,2.49,575175,0.52,1271.02,39.830646,-105.12448199999999
Asheville,North Carolina,NC,37.9,210500,232035,2.18,442535,0.52,492.58,35.591496,-82.54777
Atascocita,Texas,TX,32.8,187120,204080,3.03,391200,0.52,,,
Athens-Clarke County unified government,Georgia,GA,26.5,287075,325740,2.44,612815,0.53,,,
Atlanta,Georgia,GA,33.8,1119800,1199575,2.15,2319375,0.52,1966.58,33.797445749999994,-84.3843125
Auburn,Washington,WA,37.1,184185,198715,2.73,382900,0.52,970.53,47.301989999999996,-122.20343000000001
Augusta-Richmond County consolidated government,Georgia,GA,33.7,473310,509585,2.67,982895,0.52,,,
Aurora,Colorado,CO,34.2,889495,904855,2.82,1794350,0.5,1475.01,39.69556090909091,-104.78148727272728
Aurora,Illinois,IL,31.7,509820,508755,3.3,1018575,0.5,1644.38,41.756150000000005,-88.28263999999999
Austin,Texas,TX,32.7,2378590,2280610,2.5,4659200,0.49,1263.72,30.3043134090909,-97.76760613636363
